Date,Forecast_Price,Lower_Bound,Upper_Bound
2027,143.01496481159333,132.3179398841122,153.71198973907445
2028,141.98939654752508,127.0150239132976,156.96376918175255
2029,143.4323741537085,125.02876481074318,161.83598349667383
2030,143.60440003792553,122.39465504121821,164.81414503463284
2031,142.5179492318986,118.48913717736866,166.54676128642853
2032,143.88847518358025,117.6079036339628,170.1690467331977
2033,144.12105214382942,115.75634959780909,172.48575468984973
2034,143.32042179359027,112.8222642524616,173.81857933471895
2035,144.3919100280725,112.09678414702736,176.6870359091176
2036,143.91756637381113,109.87423786985926,177.960894877763
2037,143.09174243296724,107.27742729591044,178.90605757002402
2038,144.87989646562949,107.5226483508789,182.23714458038006
2039,143.72360682523214,104.80535492658032,182.64185872388396
2040,143.43634972592815,102.96081344148811,183.9118860103682
2041,143.98745178697953,102.11728240697445,185.85762116698461
2042,143.82978482190552,100.54983485946525,187.1097347843458
2043,143.86298454064047,99.1921770662456,188.53379201503532
2044,144.34840484976294,98.40391078879158,190.29289891073432
2045,144.5345167700883,97.29511921798274,191.77391432219383
2046,144.55131750780214,96.0464542033811,193.05618081222318
2047,144.80789427456713,95.1208984148085,194.49489013432577
2048,144.47615398449187,93.58642285405486,195.3658851149289
2049,144.2089687258402,92.15108596564971,196.2668514860307
2050,145.2887562788669,92.12139746472539,198.45611509300844
2051,144.38838351599316,90.07980835874207,198.69695867324424
2052,144.44865961049362,89.03576022536325,199.861558995624
2053,144.4138474904753,87.93788817961392,200.88980680133665
2054,144.56734570330875,87.01683880018967,202.11785260642782
2055,144.78390898673797,86.19319850201802,203.37461947145792
2056,144.80719504947496,85.20549973187406,204.40889036707586
2057,145.31756221203244,84.69805528651911,205.9370691375458
2058,145.3965135093244,83.79108742480375,207.00193959384504
2059,145.30641002111432,82.73501142146552,207.87780862076312
2060,145.28341368408263,81.74347730480034,208.82335006336493
2061,144.9943233789465,80.51445498077561,209.47419177711737
2062,145.82885071112668,80.42261889366628,211.23508252858707
2063,145.20411879580675,78.86031318707735,211.54792440453616
2064,145.18903050600989,77.93329020452083,212.44477080749894
2065,144.99364606365947,76.83553080980589,213.15176131751304
2066,145.38061237437236,76.32431221107115,214.43691253767358
2067,145.49237519828142,75.55882360156338,215.42592679499947
2068,145.42251950777984,74.61931392487625,216.22572509068343
2069,146.12137128470653,74.45447894012304,217.78826362929001
2070,146.08401685236228,73.57123906652599,218.59679463819856
2071,145.95188276372997,72.59909385561109,219.30467167184884
2072,146.0738874860623,71.88823073367452,220.25954423845008
2073,145.6695920901281,70.66606220578232,220.67312197447387
2074,146.4987076536001,70.68219249201638,222.3152228151838
2075,145.9797067749354,69.34741197927876,222.61200157059204
2076,145.85869367974914,68.42362736818451,223.29375999131378
