Date,Close,High,Low,Open,Volume
2015-01-02,172.59286499023438,173.81109879252688,171.54267227773067,173.3910217075254,121465900
2015-01-05,169.47592163085938,171.70232533502883,169.16506865096244,171.53429704372607,169632600
2015-01-06,167.87957763671875,170.31601909726237,167.07302415986425,169.78671797745997,209151400
2015-01-07,169.97161865234375,170.31608500073534,168.77020412663234,169.2238818193465,125346700
2015-01-08,172.98773193359375,173.2061802141637,171.38304727257352,171.3998411251291,147217800
2015-01-09,171.60147094726562,173.42460376363718,170.9797523125728,173.40779709250117,158567300
2015-01-12,170.25726318359375,171.89557431876867,169.64395413622213,171.73594295115782,144396100
2015-01-13,169.7783660888672,172.6348853051518,168.4593178117583,171.49227505469077,214553300
2015-01-14,168.75335693359375,168.9549985373519,166.82940964087237,167.7367648084479,192991100
2015-01-15,167.20748901367188,169.71954181506166,167.08986794089512,169.40029194308786,176613900
2015-01-16,169.40032958984375,169.55996097117412,166.81265259394607,166.99748758077723,211879600
2015-01-20,169.76156616210938,170.316071045343,168.17367513811234,170.0472155311437,130991100
2015-01-21,170.6185302734375,171.1058212872163,168.82060065281627,169.29108499170977,122942700
2015-01-22,173.15574645996094,173.2901613584639,169.9883622550942,171.3830209873916,174356000
2015-01-23,172.20640563964844,173.15578397826133,172.0719778922857,172.89532541034518,117516800
2015-01-26,172.60968017578125,172.70209765182875,171.26544112932362,171.98797426394884,92009700
2015-01-27,170.3328857421875,171.49228994750163,169.49273145035025,170.52611763978365,134044600
2015-01-28,168.14846801757812,171.635102963637,167.95523613312614,171.53428855779006,168514300
2015-01-29,169.70274353027344,169.96318926892573,166.92182248985472,168.3500948187939,173585400
2015-01-30,167.5687713623047,169.85399206739936,167.29992865450734,168.5097528889383,197729700
2015-02-02,169.64393615722656,169.73635363290484,166.23291212357785,168.07285189043168,163107000
2015-02-03,172.09718322753906,172.10559297416876,170.173235750488,170.55130257648872,124212900
2015-02-04,171.44180297851562,172.55081228125232,170.979715769042,171.32418194517064,134306700
2015-02-05,173.172607421875,173.3238418684334,172.03840676150702,172.1140175749173,97953200
2015-02-06,172.69369506835938,174.11355769033904,172.1643938301755,173.54224617901212,125672000
2015-02-09,171.92080688476562,172.76935825270334,171.50912659471734,172.03842799338807,87219000
2015-02-10,173.7522430419922,174.01268872536852,171.96271095723785,172.9709059918632,96164200
2015-02-11,173.85313415527344,174.29001800846677,172.92897205859057,173.58429142851156,91087800
2015-02-12,175.52500915527344,175.58382610114808,173.8867110737457,174.6596513783707,97545900
2015-02-13,176.24752807617188,176.29793527158748,175.39056729490355,175.6510258374414,93670400
2015-02-17,176.5247802734375,176.7012182769293,175.67622923884286,175.92826521563927,76968200
2015-02-18,176.54153442382812,176.61714519437277,175.8778056964328,176.1466610846766,80652900
2015-02-19,176.4156036376953,176.78527359617777,175.79389763455464,175.9367223331069,91462500
2015-02-20,177.4741973876953,177.549808197294,175.36540190859282,175.99551762805618,140896400
2015-02-23,177.4489288330078,177.4489288330078,176.8356071936797,177.22208366750655,74411100
2015-02-24,177.95306396484375,178.15470559351675,177.0708994665365,177.37335549967796,72472300
2015-02-25,177.80181884765625,178.31431336883128,177.45735258495586,177.82702244544072,73061700
2015-02-26,177.59181213378906,177.86906457882029,176.97849029187,177.70943321776565,72697900
2015-02-27,176.98687744140625,177.7598177259541,176.93647024324324,177.49096224277133,108076000
2015-03-02,178.10430908203125,178.16311321492225,177.03730956499425,177.08771677025416,87491400
