Price,Close,High,Low,Open,Volume
Ticker,BND,BND,BND,BND,BND
Date,,,,,
2015-01-02,62.57311248779297,62.603396598388215,62.39898029589616,62.406552767570844,2218800
2015-01-05,62.754817962646484,62.77752960395109,62.610969866245156,62.641253980019336,5820100
2015-01-06,62.93650817871094,63.125779531586275,62.860800792781454,62.860800792781454,3887600
2015-01-07,62.97435760498047,63.050064982308555,62.87593859206422,62.94407349882871,2433400
2015-01-08,62.8759765625,62.92139986110719,62.81540831361966,62.92139986110719,1873400
2015-01-09,62.98195266723633,63.05766007172073,62.83810455544265,62.8456770287225,1646100
2015-01-12,63.06521224975586,63.0879238861818,62.98949909353226,63.02735567164406,4397900
2015-01-13,63.12582015991211,63.19396089437691,63.012261895982455,63.0728243780426,2223400
2015-01-14,63.2696418762207,63.38320586877666,63.254502706062055,63.32263763593287,2481200
2015-01-15,63.54972457885742,63.56486373923878,63.25446185456359,63.25446185456359,4214500
2015-01-16,63.36051940917969,63.48165014690811,63.277239499944635,63.45136601844928,3631300
2015-01-20,63.2923698425293,63.46650211283754,63.26965819338172,63.368077265056584,3029500
2015-01-21,63.171207427978516,63.44375863321952,63.16363495669316,63.43618616193416,2473900
2015-01-22,63.186344146728516,63.315047273077944,63.11820923610928,63.315047273077944,2157400
2015-01-23,63.39076614379883,63.42104447828975,63.299913812015596,63.32262545093553,6255000
2015-01-26,63.31502914428711,63.40588144186894,63.27717835237066,63.39074228032263,7810500
2015-01-27,63.352909088134766,63.511896335489794,63.31505250614876,63.489184696739564,1154100
2015-01-28,63.58004379272461,63.66331788496794,63.307492546515704,63.32263171525884,1394600
2015-01-29,63.51189422607422,63.57246244479881,63.413475202724214,63.549750806802905,1551300
2015-01-30,63.86017990112305,63.86017990112305,63.67848094399847,63.74661588688055,10474400
2015-02-02,63.78433609008789,63.86019641528926,63.65537295846837,63.685712458331466,6070500
2015-02-03,63.58706283569336,63.71602590286152,63.54912979816441,63.67051088804191,1237200
2015-02-04,63.60983657836914,63.61742434536535,63.38983763764208,63.45811596506722,2945700
2015-02-05,63.473270416259766,63.54154872723202,63.427755400790936,63.488445946595384,2128200
2015-02-06,63.0636100769043,63.28360893727969,63.04844033622281,63.253263668148435,2907700
2015-02-09,63.04087829589844,63.185016936145765,63.010533014384755,63.1698414015036,1384600
2015-02-10,62.927093505859375,62.99537184550519,62.889166239630754,62.96502655985943,1447900
2015-02-11,62.927093505859375,63.00295961385949,62.881578471276455,62.96502655985943,1904000
2015-02-12,62.95741653442383,63.040864593505745,62.93465902517774,62.95741653442383,4662900
2015-02-13,62.81324005126953,62.98771802605471,62.81324005126953,62.98771802605471,1883000
2015-02-17,62.56296920776367,62.8133135037402,62.54021168772438,62.798137965199246,5281500
2015-02-18,62.73738098144531,62.828416753016725,62.57807272201985,62.65393297111302,3813000
2015-02-19,62.684326171875,62.820877039788876,62.66156865851776,62.767774246031834,1322700
2015-02-20,62.699485778808594,62.87396386207284,62.60844996073445,62.775346066652574,3145800
2015-02-23,62.82845687866211,62.88155966571824,62.77535409160598,62.813287134261664,3952700
2015-02-24,63.086368560791016,63.13188356713435,62.72223114674077,62.82843668672046,2542200
2015-02-25,63.14704895019531,63.162224476441374,63.02567367906404,63.07877644539037,4934600
2015-02-26,62.97261428833008,63.14709244596838,62.96502651998059,63.07123212578776,2187500
2015-02-27,63.02572250366211,63.048480022893486,62.911929119733266,62.987789446428515,4094400
2015-03-02,62.82196807861328,63.08800065650639,62.80676290326209,63.05759610487928,2476100
2015-03-03,62.74596405029297,62.867576466353334,62.730758873863124,62.80676735878531,2648100
2015-03-04,62.74596405029297,62.82957512343008,62.71555949650895,62.78396539321622,1425400
2015-03-05,62.78398895263672,62.84479808302311,62.70798043919267,62.76118697851129,1340800
2015-03-06,62.419166564941406,62.56358104887696,62.35075482069421,62.56358104887696,1580000
2015-03-09,62.4951286315918,62.55593773701986,62.46472407887776,62.540732561125104,1982300
2015-03-10,62.73838806152344,62.74599065296166,62.65477695293739,62.669976336735694,3766100
2015-03-11,62.806766510009766,62.85237623960725,62.715558648966,62.73836061422694,4829700
2015-03-12,62.852378845214844,63.004395819306865,62.82197429058127,62.989196441528,8421500
2015-03-13,62.79157257080078,62.91318499574967,62.768770603565116,62.791572570800774,2114500
2015-03-16,62.913185119628906,62.98919940933225,62.83717662900167,62.951192264480575,1203700
2015-03-17,62.966426849365234,62.966426849365234,62.89041831623938,62.9208228893056,1471300
2015-03-18,63.354061126708984,63.354061126708984,62.91320363263655,63.03482189268873,5534300
2015-03-19,63.16404342651367,63.33126565170668,63.126042065656065,63.31606626717932,1208100
2015-03-20,63.33126449584961,63.33886708751374,63.202049432950915,63.202049432950915,1011200
2015-03-23,63.36162185668945,63.36922444268939,63.255208848986456,63.36162185668946,1572700
2015-03-24,63.46805953979492,63.50606668549716,63.33884452292933,63.3996536364224,2300500
2015-03-25,63.3692741394043,63.54409316098472,63.35406895547993,63.54409316098472,1559900
2015-03-26,63.16404342651367,63.285661699046194,63.10323429024741,63.2780591072433,2342500
2015-03-27,63.224815368652344,63.30842643206182,63.186808231075304,63.224815368652344,6542300
2015-03-30,63.3009033203125,63.33130790873271,63.2476967403477,63.31610851406375,1634800
2015-03-31,63.3692741394043,63.422480684982496,63.270457841131545,63.3160675938261,1996000
2015-04-01,63.6214485168457,63.651922904616626,63.49955096576204,63.514791065845074,3132700
2015-04-02,63.53764724731445,63.651924751672716,63.51479290892187,63.644304701410086,791200
2015-04-06,63.5909423828125,63.697599780566975,63.52999363769788,63.68997973432958,1768800
2015-04-07,63.6290283203125,63.644268412148044,63.48428232222691,63.53761101886729,977400
2015-04-08,63.58332824707031,63.64427699785053,63.49190512089998,63.62903690395908,3470700
2015-04-09,63.44622802734375,63.598599980096544,63.38527924624263,63.598599980096544,1025400
2015-04-10,63.41571807861328,63.522375479537935,63.38524370515018,63.49952115253871,4290100
2015-04-13,63.430938720703125,63.49950168067624,63.38522426833041,63.46141308482139,6046400
2015-04-14,63.54523849487305,63.68236446307446,63.53761844806429,63.63665580700732,1398100
2015-04-15,63.60620880126953,63.67477762726739,63.583354463401974,63.65192328939983,1022400
2015-04-16,63.5909423828125,63.65950536177227,63.522373591460486,63.621416755369815,1289900
2015-04-17,63.69761657714844,63.73571100598835,63.53763043832959,63.575719054775725,1693900
2015-04-20,63.6290283203125,63.68235701695288,63.55284529831082,63.65188845806581,2463600
2015-04-21,63.55284118652344,63.62902420359618,63.50713253875813,63.59855564668039,1788000
2015-04-22,63.316688537597656,63.537623413174785,63.31668853759766,63.530003365770575,1501300
2015-04-23,63.43857955932617,63.51476840777165,63.339542193697355,63.37763661792009,5518000
2015-04-24,63.53764724731445,63.598596024624904,63.48431852026664,63.522407146789185,1597900
2015-04-27,63.491912841796875,63.568101695733446,63.44620417934973,63.568101695733446,1591400
2015-04-28,63.293853759765625,63.45383993031634,63.2786136602494,63.438599830800115,1217700
2015-04-29,63.09577560424805,63.17195866760425,63.019592540891836,63.10339565430221,1905200
2015-04-30,63.164329528808594,63.164329528808594,62.90530019963107,62.996723341527925,4229900
2015-05-01,62.97273635864258,63.07196402854364,62.91167048936724,63.018532848818175,7173200
2015-05-04,62.88112258911133,63.049050777870924,62.86585903720611,63.02615253823288,1190000
2015-05-05,62.78193283081055,62.91169348277511,62.697968685759605,62.91169348277511,4175700
2015-05-06,62.6063232421875,62.74371848421083,62.55289208270951,62.74371848421083,3938900
2015-05-07,62.73611831665039,62.781914810418975,62.65215419569981,62.66741775243524,3602900
2015-05-08,62.90406036376953,63.01092275505693,62.85825803638668,62.957491559413235,1735900
2015-05-11,62.575843811035156,62.835365119463695,62.53004147976349,62.78193391928347,929200
2015-05-12,62.49949645996094,62.6139935306758,62.40026877124162,62.476598210530554,2139600
2015-05-13,62.468955993652344,62.713219487650235,62.43842888046483,62.67505186082251,2372000
2015-05-14,62.59107208251953,62.63686856440631,62.51474267152129,62.552904465240026,1485300
2015-05-15,62.84294891357422,62.87348183517113,62.69791899187873,62.71318836445685,1402700
2015-05-18,62.613956451416016,62.78951929902091,62.606321764939416,62.78951929902091,3747700
2015-05-19,62.47657012939453,62.56816890950841,62.407875411979354,62.43840833868398,4856500
2015-05-20,62.47657012939453,62.56053422194217,62.42313896355151,62.49946836853292,4097400
2015-05-21,62.675052642822266,62.713220270126214,62.552920894299476,62.591088521603425,2314100
2015-05-22,62.63686752319336,62.65976576375611,62.52237632037957,62.63686752319336,816600
2015-05-26,62.78948974609375,62.82765151339631,62.613926981120414,62.6368252062133,1178300
2015-05-27,62.820030212402344,62.85055730049463,62.697898565803435,62.80476084479876,2564500
2015-05-28,62.827693939208984,62.88112510835855,62.781897458098115,62.84296331528638,1073300
2015-05-29,62.85061264038086,62.94221145598269,62.81245083488536,62.91167851744874,2494300
2015-06-01,62.64101028442383,62.86281675565204,62.61041568473822,62.86281675565204,1362800
2015-06-02,62.465084075927734,62.58746245758807,62.411544992781934,62.56451796985736,1510000
2015-06-03,62.18977737426758,62.35804483642972,62.120943868106366,62.350394723969785,1390000
2015-06-04,62.342750549316406,62.41923416806327,62.25861681809703,62.27391120771598,1111300
2015-06-05,62.09798812866211,62.2203607292459,62.02914879963216,62.159171511291504,4115300
2015-06-08,62.17448043823242,62.21271932831384,62.1285914360044,62.1591802139392,4954500
2015-06-09,61.9909553527832,62.10567792638033,61.96036072138087,62.10567792638033,2883300
2015-06-10,61.86088943481445,61.952673273715014,61.82265054510021,61.891484047781304,1222800
2015-06-11,62.15153121948242,62.15917549572297,61.90678016730118,61.952669166045986,1815900
2015-06-12,62.1056022644043,62.273869614455805,62.04441891146733,62.082657777637664,1785100
2015-06-15,62.113304138183594,62.281571628472456,62.09800974603326,62.243326895106065,2082900
2015-06-16,62.273902893066406,62.273902893066406,62.12858578744755,62.212713672108315,2250700
2015-06-17,62.29683303833008,62.31213325770694,62.02913755247454,62.243293941158974,865700
2015-06-18,62.250972747802734,62.28921747855129,62.105649773350166,62.235678356699296,1210300
2015-06-19,62.426876068115234,62.449820567188276,62.34274234796388,62.37333695850303,1176700
2015-06-22,62.12860107421875,62.3274573382733,62.113300847551955,62.27391821559296,1020000
2015-06-23,61.98326873779297,62.128591692549556,61.952674124406016,61.983268737792976,1096000
2015-06-24,62.09798812866211,62.128582737639306,62.01385441280606,62.067393519684906,6836900
2015-06-25,62.013851165771484,62.1056291525726,61.983256558396214,62.075040380522026,2894500
2015-06-26,61.89916229248047,61.93740703490237,61.837973038736784,61.90681240803053,963000
2015-06-29,62.212703704833984,62.25859853086226,62.01384752156743,62.09798122807418,2168400
2015-06-30,62.15153121948242,62.319798661980535,62.13623099635057,62.15153121948242,1547800
2015-07-01,62.00054931640625,62.10017726411352,61.94690259886331,61.97755870132409,5399300
2015-07-02,62.153839111328125,62.21515133117448,62.12318300140494,62.12318300140494,1060100
2015-07-06,62.36842727661133,62.41441436594008,62.24580868153018,62.41441436594008,2210700
2015-07-07,62.429744720458984,62.667322288154566,62.429744720458984,62.606015909012804,4183200
2015-07-08,62.605979919433594,62.65962662475319,62.50634614737408,62.56765833832573,1967800
2015-07-09,62.399078369140625,62.52170280141579,62.36842226107183,62.50637182385402,1670900
2015-07-10,62.10786437988281,62.199832719292125,62.0388866635619,62.09253339978673,2038300
2015-07-13,61.962242126464844,62.08486656480562,61.95457663730478,61.9699076156249,2846500
2015-07-14,62.07720184326172,62.13084857393542,62.04654573329744,62.07720184326172,1567700
2015-07-15,62.25347900390625,62.27646962682787,62.06188268348522,62.084873306406834,2631000
2015-07-16,62.25347900390625,62.29179475975705,62.11552941932088,62.130854552250064,1063100
2015-07-17,62.2611083984375,62.322420594478196,62.23045230041715,62.268773884705794,807900
2015-07-20,62.17683029174805,62.24580800145994,62.13851453929047,62.22281738057436,1026900
2015-07-21,62.29176330566406,62.33008488922014,62.153813790736,62.16914476297952,1422900
2015-07-22,62.314754486083984,62.40672277922686,62.307094846945,62.32241997227575,1624100
2015-07-23,62.46036911010742,62.491025207636014,62.29942898337188,62.345410206138396,1178400
2015-07-24,62.4986572265625,62.54463842470668,62.46033566340928,62.529307460625546,804300
2015-07-27,62.6213264465332,62.62899193478518,62.5446891051765,62.6060013170836,2022800
2015-07-28,62.51405334472656,62.57536557658803,62.50638785397982,62.544709460657295,1434700
2015-07-29,62.46036911010742,62.521681305164606,62.41438788734091,62.51401581901927,1020500
2015-07-30,62.483360290527344,62.52168187455026,62.41438845574944,62.44504455355722,788000
2015-07-31,62.69797897338867,62.713309953605794,62.62900710357891,62.674988350118745,1589100
2015-08-03,62.84311294555664,62.8584697984301,62.69719647704823,62.743272894826504,2085800
2015-08-04,62.62803649902344,62.80466654537419,62.612673798116795,62.78930970362121,1007300
